data/fastqs/LOSH_001/LOSH_001_22N13583_S58_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:9182:1078
data/fastqs/LOSH_001/LOSH_001_22N13583_S58_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:9182:1078
data/fastqs/LOSH_001/LOSH_001_22N13584_S59_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:9561:1078
data/fastqs/LOSH_001/LOSH_001_22N13584_S59_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:9561:1078
data/fastqs/LOSH_001/LOSH_001_22N13592_S60_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:15040:1110
data/fastqs/LOSH_001/LOSH_001_22N13592_S60_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:15040:1110
data/fastqs/LOSH_001/LOSH_001_22N13596_S61_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:10881:1078
data/fastqs/LOSH_001/LOSH_001_22N13596_S61_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:10881:1078
data/fastqs/LOSH_001/LOSH_001_22N13598_S62_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:13702:1078
data/fastqs/LOSH_001/LOSH_001_22N13598_S62_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:13702:1078
data/fastqs/LOSH_001/LOSH_001_22N13599_S63_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:8730:1078
data/fastqs/LOSH_001/LOSH_001_22N13599_S63_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:8730:1078
data/fastqs/LOSH_001/LOSH_001_22N13601_S64_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:12798:1078
data/fastqs/LOSH_001/LOSH_001_22N13601_S64_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:12798:1078
data/fastqs/LOSH_001/LOSH_001_22N13602_S65_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:9833:1078
data/fastqs/LOSH_001/LOSH_001_22N13602_S65_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:9833:1078
data/fastqs/LOSH_001/LOSH_001_22N13608_S66_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:9778:1078
data/fastqs/LOSH_001/LOSH_001_22N13608_S66_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:9778:1078
data/fastqs/LOSH_001/LOSH_001_22N13614_S67_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:13376:1078
data/fastqs/LOSH_001/LOSH_001_22N13614_S67_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:13376:1078
data/fastqs/LOSH_001/LOSH_001_22N13626_S68_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:11478:1078
data/fastqs/LOSH_001/LOSH_001_22N13626_S68_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:11478:1078
data/fastqs/LOSH_001/LOSH_001_22N13627_S69_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:11388:1078
data/fastqs/LOSH_001/LOSH_001_22N13627_S69_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:11388:1078
data/fastqs/LOSH_001/LOSH_001_22N13628_S70_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:9399:1078
data/fastqs/LOSH_001/LOSH_001_22N13628_S70_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:9399:1078
data/fastqs/LOSH_001/LOSH_001_22N13629_S71_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:12038:1078
data/fastqs/LOSH_001/LOSH_001_22N13629_S71_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:12038:1078
data/fastqs/LOSH_001/LOSH_001_22N13632_S72_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:11369:1078
data/fastqs/LOSH_001/LOSH_001_22N13632_S72_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:11369:1078
data/fastqs/LOSH_001/LOSH_001_22N13640_S73_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:10140:1078
data/fastqs/LOSH_001/LOSH_001_22N13640_S73_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:10140:1078
data/fastqs/LOSH_001/LOSH_001_22N13642_S74_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:11984:1078
data/fastqs/LOSH_001/LOSH_001_22N13642_S74_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:11984:1078
data/fastqs/LOSH_001/LOSH_001_22N13643_S75_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:11098:1078
data/fastqs/LOSH_001/LOSH_001_22N13643_S75_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:11098:1078
data/fastqs/LOSH_001/LOSH_001_22N13646_S76_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:15148:1078
data/fastqs/LOSH_001/LOSH_001_22N13646_S76_L004_R2_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:15148:1078
data/fastqs/LOSH_001/LOSH_001_22N13647_S77_L004_R1_001.fastq.gz	@A00987:636:HC53KDSX7:4:1101:11840:1078
