sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
16N0734	1	Lib-4	22FWCTLT4	ILLUMINA	7	16N0734	16N0734_Lib-4_1	data/fastqs/LOSH_004/L_16N0734_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_16N0734_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3935677.53	3837058.337
16N2305	1	Lib-4	22FWCTLT4	ILLUMINA	7	16N2305	16N2305_Lib-4_1	data/fastqs/LOSH_004/L_16N2305_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_16N2305_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3991725.209	3863005.195
16N4440	1	Lib-4	22FWCTLT4	ILLUMINA	7	16N4440	16N4440_Lib-4_1	data/fastqs/LOSH_004/L_16N4440_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_16N4440_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3716270.292	3619635.35
17N03189	1	Lib-5	22FWCTLT4	ILLUMINA	8	17N03189	17N03189_Lib-5_1	data/fastqs/LOSH_005/L_17N03189_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_17N03189_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3135382.959	3062763.509
21N02067	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02067	21N02067_Lib-5_1	data/fastqs/LOSH_005/L_21N02067_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02067_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	2075108.643	2027578.082
21N02068	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02068	21N02068_Lib-5_1	data/fastqs/LOSH_005/L_21N02068_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02068_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	2551528.732	2490744.514
21N02070	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02070	21N02070_Lib-5_1	data/fastqs/LOSH_005/L_21N02070_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02070_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3417243.67	3358533.888
21N02072	1	Lib-5	22FWCTLT4	ILLUMINA	8	21N02072	21N02072_Lib-5_1	data/fastqs/LOSH_005/L_21N02072_CKDL240029306-1A_22FWCTLT4_L8_1.fq.gz	data/fastqs/LOSH_005/L_21N02072_CKDL240029306-1A_22FWCTLT4_L8_2.fq.gz	3564275.208	3477129.648
21N02074	1	Lib-4	22FWCTLT4	ILLUMINA	7	21N02074	21N02074_Lib-4_1	data/fastqs/LOSH_004/L_21N02074_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_21N02074_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	2739317.399	2664277.448
21N02075	1	Lib-4	22FWCTLT4	ILLUMINA	7	21N02075	21N02075_Lib-4_1	data/fastqs/LOSH_004/L_21N02075_CKDL240029305-1A_22FWCTLT4_L7_1.fq.gz	data/fastqs/LOSH_004/L_21N02075_CKDL240029305-1A_22FWCTLT4_L7_2.fq.gz	3846476.086	3761124.654
